Wall time,Step,Value
1734429610.4068863,2306,0.00027478052652440965
1734429612.5226214,2307,0.0003373909567017108
1734429621.8961623,2311,0.0003398474946152419
1734429624.0801063,2312,0.00020900530216749758
1734429628.3771527,2314,0.0002046998852165416
1734429630.5261846,2315,0.0003541406767908484
1734429632.7140548,2316,0.0003028856008313596
1734429638.9915442,2319,0.00018783081031870097
1734429642.1385462,2320,0.00029725898639298975
1734429644.239438,2321,0.00020708538067992777
1734429652.7661555,2325,0.0002314376033609733
1734429672.7062757,2334,0.00041477743070572615
1734429679.174448,2337,0.0002615751582197845
1734429688.5559063,2341,0.00026448589051142335
1734429692.7511377,2343,0.000487091310787946
1734429697.0956838,2345,0.00025135657051578164
1734429699.194027,2346,0.00030530415824614465
1734429703.4420137,2348,0.0003733666962943971
1734429708.5734997,2350,0.0003486299538053572
1734429710.7366521,2351,0.00045647620572708547
1734429717.1024053,2354,0.0003137610910926014
1734429719.2423892,2355,0.0003211192088201642
1734429721.431225,2356,0.00021286163246259093
1734429723.6156178,2357,0.00024313668836839497
1734429725.7535496,2358,0.00028207822469994426
1734429734.7653663,2362,0.0003174458397552371
1734429739.0121424,2364,0.0004041886713821441
1734429743.237827,2366,0.0001722549641272053
1734429745.3342822,2367,0.00022088720288593322
1734429747.4609435,2368,0.00024487104383297265
1734429749.563451,2369,0.00024239109188783914
1734429756.7582817,2372,0.00029396574245765805
1734429758.910686,2373,0.00028132341685704887
1734429761.0033762,2374,0.0003858765121549368
1734429763.1412303,2375,0.00025271112099289894
1734429774.6109536,2380,0.00038545182906091213
1734429785.1890278,2385,0.0003046408237423748
1734429791.610761,2388,0.0002257480373373255
1734429793.7757666,2389,0.0002818673674482852
1734429796.9279892,2390,0.0002458601666148752
1734429807.5639112,2395,0.0003316834045108408
1734429825.6763742,2403,0.00033669432741589844
1734429832.068918,2406,0.00021453551016747952
1734429834.2124934,2407,0.00019381953461561352
1734429850.013386,2414,0.0004567742289509624
1734429856.594755,2417,0.00036452908534556627
1734429860.8598351,2419,0.00020433106692507863
1734429874.4361138,2425,0.00028411252424120903
1734429876.5728579,2426,0.00016672957281116396
1734429878.798621,2427,0.00032102494151331484
1734429886.2965307,2430,0.00034060247708112
1734429888.4618626,2431,0.00024703246890567243
1734429903.421186,2438,0.00022560820798389614
1734429909.0129137,2440,0.0003135662409476936
1734429913.3942592,2442,0.0003361580311320722
1734429915.6736455,2443,0.00022922205971553922
1734429917.7899206,2444,0.00023802545911166817
1734429920.0022397,2445,0.00020130899793002754
1734429933.7194195,2451,0.00014968244067858905
1734429944.3904803,2456,0.00024187812232412398
1734429948.83507,2458,0.00024064227181952447
1734429950.953971,2459,0.00015430600615218282
1734429953.755071,2460,0.00022780480503570288
1734429960.2141304,2463,0.00028449829551391304
1734429966.6013982,2466,0.0002567732590250671
1734429970.898873,2468,0.00027503527235239744
1734429973.1183834,2469,0.00021503976313397288
1734429980.4804084,2472,0.00015057442942634225
1734429991.3216193,2477,0.00022428783995565027
1734429993.4323714,2478,0.00031720587867312133
1734429995.5634048,2479,0.00017281717737205327
1734430000.4435108,2481,0.00021360628306865692
1734430006.8021271,2484,0.00030452944338321686
1734430011.172815,2486,0.00034394851536490023
1734430013.301458,2487,0.00016075134044513106
1734430017.5862932,2489,0.00036513825762085617
1734430022.7283318,2491,0.00022808426001574844
1734430024.901427,2492,0.0002462279808241874
1734430040.030145,2499,0.0002434553171042353
1734430058.676255,2507,0.0003399403940420598
1734430060.7963176,2508,0.0002027207228820771
1734430063.0251114,2509,0.00025433150585740805
1734430072.3336945,2513,0.00026599314878694713
1734430085.2717364,2519,0.00022041721967980266
1734430094.642336,2523,0.00033640075707808137
1734430096.7084482,2524,0.0001553840993437916
1734430101.0397182,2526,0.00024560367455706
1734430105.606218,2528,0.0002709160326048732
1734430110.6958241,2530,0.00030200363835319877
1734430117.3091702,2533,0.00031311309430748224
1734430119.4854138,2534,0.00018498925783205777
1734430121.6405983,2535,0.00022400116722565144
1734430128.1139684,2538,0.00033417923259548843
1734430150.5294936,2548,0.00029805407393723726
1734430155.6516387,2550,0.0003101435722783208
1734430168.6713297,2556,0.00031535475864075124
1734430175.1416976,2559,0.00016648239397909492
1734430178.0371037,2560,0.00033786168205551803
1734430180.1548626,2561,0.0002917895035352558
1734430182.3121753,2562,0.00023245252668857574
1734430186.6364074,2564,0.0003382542636245489
1734430195.257848,2568,0.00028493281570263207
1734430200.3117163,2570,0.00015957508003339171
1734430204.530652,2572,0.0002944393490906805
1734430208.8236687,2574,0.00031852631946094334
1734430219.7141376,2579,0.00020234774274285883
1734430224.7548606,2581,0.0002128317573806271
1734430233.3800585,2585,0.00030629319371655583
1734430248.8770962,2592,0.00022725900635123253
1734430250.9893875,2593,0.00025233550695702434
1734430261.7364798,2598,0.000273306475719437
1734430263.900726,2599,0.00023262393369805068
1734430267.3674448,2600,0.00027149441302753985
1734430271.7179422,2602,0.00014115014346316457
1734430273.9485376,2603,0.00028914003632962704
1734430276.0789373,2604,0.00018534496484789997
1734430284.7099202,2608,0.00023307288938667625
1734430286.9253912,2609,0.000281121872831136
1734430291.9222157,2611,0.00041006988612934947
1734430298.339559,2614,0.00031678922823630273
1734430306.8674214,2618,0.00027980993036180735
1734430309.0269184,2619,0.0003018791030626744
1734430311.7930067,2620,0.0002547655312810093
1734430313.9354537,2621,0.00023495781351812184
1734430318.172874,2623,0.00034451557439751923
1734430324.5602932,2626,0.0002768307749647647
1734430326.7446654,2627,0.00016153909382410347
1734430328.8764865,2628,0.0001923148229252547
1734430336.0085638,2631,0.00022832813556306064
1734430338.170714,2632,0.0003176891477778554
1734430342.506232,2634,0.00024838364333845675
1734430356.4648325,2640,0.00021967440261505544
1734430360.7563956,2642,0.00020505726570263505
1734430367.2709334,2645,0.0002480131224729121
1734430369.3684573,2646,0.00031848138314671814
1734430373.753807,2648,0.0002817744098138064
1734430375.933421,2649,0.0002375379845034331
1734430387.6446834,2654,0.00026400070055387914
1734430389.8536808,2655,0.00020249713270459324
1734430398.379594,2659,0.00026808693655766547
1734430403.5047433,2661,0.00021692427981179208
1734430409.9716148,2664,0.00026649542269296944
1734430418.616358,2668,0.00022949659614823759
1734430427.7515922,2672,0.00030257386970333755
1734430431.9652038,2674,0.00025812408421188593
1734430440.4394464,2678,0.00018535762501414865
1734430442.5492094,2679,0.00032942130928859115
1734430445.3293812,2680,0.0002277354506077245
1734430449.7608676,2682,0.0002168271312257275
1734430451.9208784,2683,0.00026308695669285953
1734430460.4921288,2687,0.00017806628602556884
1734430462.6094656,2688,0.00024572137044742703
1734430464.8243349,2689,0.0002769271086435765
1734430471.9631286,2692,0.00029593126964755356
1734430474.1250827,2693,0.0002519295667298138
1734430476.2409954,2694,0.0002011732867686078
1734430499.0296307,2704,0.00025032772100530565
1734430509.7169366,2709,0.00020323734497651458
1734430525.5136292,2716,0.0002695981238503009
1734430527.6671195,2717,0.00020473258337005973
1734430539.119664,2722,0.0002546166942920536
1734430541.2214763,2723,0.00023367318499367684
1734430545.4745672,2725,0.00020674261031672359
1734430549.738527,2727,0.00028104649391025305
1734430559.2971988,2731,0.00025136268232017756
1734430579.330598,2740,0.0002166760095860809
1734430581.562182,2741,0.00019091401190962642
1734430583.7140536,2742,0.00020742698688991368
1734430585.879318,2743,0.00031223491532728076
1734430592.3726823,2746,0.00014757328608538955
1734430606.07758,2752,0.00019053365394938737
1734430621.0771303,2759,0.0002998525742441416
1734430624.0382416,2760,0.0002677694137673825
1734430626.2436106,2761,0.00017181261500809342
1734430628.470453,2762,0.0001976771018235013
1734430632.7021708,2764,0.0002780688228085637
1734430634.8674195,2765,0.00028731668135151267
1734430641.5999882,2768,0.00024370166647713631
1734430643.8071072,2769,0.00026589471963234246
1734430646.9145267,2770,0.00035286476486362517
1734430655.4787881,2774,0.00021495719556696713
1734430657.6748564,2775,0.0001587894221302122
1734430666.2670643,2779,0.00022922098287381232
1734430682.125484,2786,0.0002683397615328431
1734430688.664682,2789,0.0002682402264326811
1734430691.4755096,2790,0.0002019488747464493
1734430695.7670932,2792,0.0001803572231438011
1734430700.0927534,2794,0.00027417458477430046
1734430706.627433,2797,0.00016645013238303363
1734430731.6717324,2808,0.0003583595098461956
1734430739.161369,2811,0.00020810449495911598
1734430741.3207898,2812,0.0002035079523921013
1734430743.4394207,2813,0.0002620634331833571
1734430747.7916517,2815,0.00028447178192436695
